# Temporary trajectory realization generation debug export
# RealizationNumberOneBased	21
# RealizationIndexZeroBased	20
# NormalizedGaussian	0.77762773192494916	-0.21829115994370557	-0.40452649651302192
Stage	StationIndex	CandidateIndex	Selected	SmoothnessScore	ReferenceMD	ReferenceIncl	ReferenceAz	ReferenceX	ReferenceY	ReferenceZ	MD	Abscissa	Incl	Az	X	Y	Z	TVD	North	East	DLS	BUR	TUR	VSect
raw-covariance-spherical	1	0	True		-91.200000000000003	0	0	6535283.1181627838	328657.61939551943	-91.200000000000003	-91.200000000000003	-91.200000000000003	0	0	6535283.1181627838	328657.61939551943	-91.200000000000003	-91.200000000000003	6535283.1181627838	328657.61939551943				0
incremental-md-incl-az	1	0	True		-91.200000000000003	0	0	6535283.1181627838	328657.61939551943	-91.200000000000003	-91.200000000000003	-91.200000000000003	0	0	6535283.1181627838	328657.61939551943	-91.200000000000003	-91.200000000000003	6535283.1181627838	328657.61939551943				0
raw-covariance-spherical-candidate	2	0	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.287570348	328657.48536041711	-49.281590250542529	-49.281590250542529	6535283.287570348	328657.48536041711				
incremental-md-incl-az-candidate	2	0	False	1.64293212073785E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.280848109099992	-49.280848109099992	0.010306563345040019	5.6138338752354704	6535283.287570348	328657.48536041711	-49.281590250542529	-49.281590250542529	6535283.287570348	328657.48536041711	0.00024586764951409744	0.00024586764951409744	0	0.21601928494589867
raw-covariance-spherical-candidate	2	1	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.4885201659	328657.37074066495	-49.283385118228345	-49.283385118228345	6535283.4885201659	328657.37074066495				
incremental-md-incl-az-candidate	2	1	False	1.643236243764612E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.280220274241273	-49.280220274241273	0.021283703519851632	5.6919186786992109	6535283.4885201659	328657.37074066495	-49.283385118228345	-49.283385118228345	6535283.4885201659	328657.37074066495	0.00050772460301773219	0.00050772460301773219	0	0.44608724162736391
raw-covariance-spherical-candidate	2	2	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.3197678961	328657.54180872691	-49.281590250542799	-49.281590250542799	6535283.3197678961	328657.54180872691				
incremental-md-incl-az-candidate	2	2	False	1.6429321102351402E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.280848109096951	-49.280848109096951	0.010306563368480307	5.9158111641561062	6535283.3197678961	328657.54180872691	-49.281590250542799	-49.281590250542799	6535283.3197678961	328657.54180872691	0.00024586765007325806	0.00024586765007325806	0	0.21601928542763385
raw-covariance-spherical-candidate	2	3	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.2883893289	328657.48489327909	-49.160067555782767	-49.160067555782767	6535283.2883893289	328657.48489327909				
incremental-md-incl-az-candidate	2	3	False	1.6337515177822226E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.15932115942627	-49.15932115942627	0.010321116427598365	5.6144875730144701	6535283.2883893289	328657.48489327909	-49.160067555782767	-49.160067555782767	6535283.2883893289	328657.48489327909	0.00024550308682545318	0.00024550308682545318	0	0.21695144457703242
